%dir,flowInd,duration,l4Proto,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpOptPktCnt,tcpOptCnt,tcpMSS,tcpWS,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,connSip,connDip,connSipDip,connSipDprt,connF,nFpCnt,tCnt,dsMinPl,dsMaxPl,dsMeanPl,dsLowQuartilePl,dsMedianPl,dsUppQuartilePl,dsIqdPl,dsModePl,dsRangePl,dsStdPl,dsRobStdPl,dsSkewPl,dsExcPl,dsMinIat,dsMaxIat,dsMeanIat,dsLowQuartileIat,dsMedianIat,dsUppQuartileIat,dsIqdIat,dsModeIat,dsRangeIat,dsStdIat,dsRobStdIat,dsSkewIat,dsExcIat,TrafficType
A,4,0.037274,6,2,3,3281,0,1122,2159,1640.5,366.6349,0,0.037274,0.018637,0.01317835,53.6567,88023.83,-0.2,1,2,2,64,64,0,1208089439,2,2159,0,0,0,0,501,501,501,501,0,0,0,0,2,6,0,1,0,65535,0,0,0,0,-1,1,1,2,2,2,2,2,1122,2159,1640.5,1122,1640.5,2159,1037,1122,1037,518.5,518.5,0,-2,37,37,37,37,37,37,0,37,0,0,0,0,0,Eepsites
B,4,0.037164,6,3,2,0,3281,0,0,0,0,0,0.037051,0.012388,0.01423923,80.72328,0,0.2,-1,1,1,49,49,0,3854005788,3,0,0,2,1833,1,1452,1450.95,1447,1452,1,1,1,0,3,9,0,1,0,0.110387,0.147551,0.1228127,0.01428272,0.1228127,0.01428272,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,37.5,19,37.5,37.5,37.5,0,0.5,37,26.16295,0,0,-2,Eepsites
A,5,0,17,1,0,56,0,56,56,56,0,0,0,0,0,0,0,1,1,65535,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65535,0,0,0,0,-1,1,2,1,1,1,1,1,56,56,56,56,56,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eepsites
A,1,6.815687,6,13,13,15171,0,698,1698,1167,208.6393,0,2.333686,0.5242836,0.6563274,1.907364,2225.895,0,1,1,2,118,118,0,2289258609,13,14073,0,0,0,0,1023,1023,1023,1023,0,0,0,0,0,0,0,1,0,1.30E-05,2.33366,0.5242627,0.6563242,0,-1,1,1,2,2,2,13,13,698,1698,1167,1072.25,1108,1207.25,135,1460,1000,236.1743,100.0755,0.5398844,0.5361381,0.5,1000,418.4583,51.5,125.5,1000,948.5,0.5,999.5,457.2892,457.2892,0.3622733,-1.777617,Eepsites
B,1,6.815701,6,13,13,0,15171,0,0,0,0,0,2.333687,0.5242847,0.6563299,1.907361,0,0,-1,1,1,64,64,0,2526863469,13,0,0,12,14049,0,6264,6263.701,6256,6264,2,2,3,0,0,0,0,1,0,6.00E-06,4.30E-05,2.42E-05,9.22E-06,0.5242869,0.6563242,1,1,1,1,1,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1000,418.4583,51.5,125.5,1000,948.5,0.5,999.5,457.2892,457.2892,0.3622733,-1.777617,Eepsites
A,1,9.934234,6,314,199,427243,0,329,2880,1360.646,301.6213,0,0.812284,0.03163769,0.06592239,31.60787,43007.14,0.2241715,1,1,2,49,49,0,3384565353,314,425896,0,0,0,0,517,517,517,517,0,0,0,0,0,0,0,1,0,1.10E-05,0.812216,0.05565502,0.07037196,0,-1,1,1,2,2,2,20,157,329,2880,1360.646,1329,1440,1440,111,1440,2551,303.954,82.2843,1.598783,11.40057,0.5,815,31.99042,0.5,0.5,71,70.5,0.5,814.5,66.46705,52.26165,5.832014,60.28539,Eepsites
B,1,9.93419,6,199,314,0,427243,0,0,0,0,0,0.812262,0.04992057,0.07684874,20.03183,0,-0.2241715,-1,1,1,64,64,0,3460686536,199,0,0,198,426149,0,2821,2820.998,2772,2821,16,12,19,0,0,0,0,1,0,2.00E-06,0.026465,0.000279191,0.001909926,0.05593421,0.07039787,1,1,1,1,1,20,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,815,50.31565,0.5,7.5,86.5,86,0.5,814.5,77.93934,63.7518,5.05121,44.99552,Eepsites
A,3,6.664452,6,176,114,239138,0,248,2904,1358.739,536.5435,0,0.291287,0.0378662,0.03344252,26.40877,35882.62,0.2137931,1,1,2,64,64,0,4060967350,176,238042,0,0,0,0,501,501,501,501,0,0,0,0,0,0,0,1,0,6.10E-05,0.26383,0.04326342,0.04336952,0,-1,2,1,2,2,1,20,170,248,2904,1358.739,1081,1102.5,1614.5,533.5,1081,2656,543.0257,395.4836,1.082488,0.402364,0.5,292.5,38.13428,14.5,35.5,41.5,27,37.5,292,36.00292,20.0151,2.983634,14.7562,Eepsites
B,3,6.431885,6,114,176,0,239138,0,0,0,0,0,0.290112,0.05642005,0.04111979,17.7242,0,-0.2137931,-1,1,1,114,114,0,3669731311,114,0,0,113,233630,0,1022,1024.955,1021,1026,12,13,25,0,0,0,0,1,0,6.70E-05,0.234065,0.03065782,0.02978051,0.07392125,0.05260983,1,2,1,1,1,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,292.5,56.98672,27.5,51,74.5,47,0.5,292,44.1125,34.8411,1.93659,6.702173,Eepsites
A,2,9.981007,6,414,620,111315,1005514,0,2920,268.8768,554.8999,0,0.27251,0.02410871,0.04084807,41.47878,11152.68,-0.1992263,-0.8006588,1,2,64,64,0,607775755,414,111315,0,338,1005514,0,5387,5387,5286,5387,10,14,19,0,0,0,0,1,0,8.00E-06,0.152408,0.007153947,0.01878736,0,-1,1,1,2,2,2,20,163,0,2920,268.8768,0,0,0,0,0,2920,559.4709,0,2.040668,3.545941,0.5,272.5,24.13923,1.5,4.5,33.5,32,0.5,272,41.05429,23.7216,3.102853,12.20458,Eepsites
