%dir,flowInd,duration,l4Proto,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpOptPktCnt,tcpOptCnt,tcpMSS,tcpWS,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,connSip,connDip,connSipDip,connSipDprt,connF,nFpCnt,tCnt,dsMinPl,dsMaxPl,dsMeanPl,dsLowQuartilePl,dsMedianPl,dsUppQuartilePl,dsIqdPl,dsModePl,dsRangePl,dsStdPl,dsRobStdPl,dsSkewPl,dsExcPl,dsMinIat,dsMaxIat,dsMeanIat,dsLowQuartileIat,dsMedianIat,dsUppQuartileIat,dsIqdIat,dsModeIat,dsRangeIat,dsStdIat,dsRobStdIat,dsSkewIat,dsExcIat,TrafficType
A,1,0.055684,6,3,3,38,0,0,38,12.66667,13.18388,0,0.050618,0.01856133,0.01655969,53.87544,682.4222,0,1,1,1,64,64,0,3928222347,2,38,1,1,0,0,501,501,501,501,0,0,0,0,0,0,0,1,0,2.20E-05,2.20E-05,7.33E-06,8.47E-06,0,-1,2,1,2,2,1,3,3,0,38,12.66667,0,0,28.5,28.5,0,38,17.91337,17.91337,0.7071067,-1.5,5.5,50.5,28,50.5,50.5,50.5,0,5.5,45,31.81981,0,0,-2,IRC
B,1,0.050598,6,3,3,0,38,0,0,0,0,0,0.049605,0.016866,0.01890404,59.29088,0,0,-1,1,1,53,53,0,739211532,3,0,0,1,0,2,42,42,42,42,0,0,0,0,0,0,0,1,0,0.004051,0.049583,0.01955933,0.01733654,0.01956667,0.01733654,1,2,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,49.5,25,49.5,49.5,49.5,0,0.5,49,34.64823,0,0,-2,IRC
A,3,0.200557,6,3,3,45,0,0,45,15,15.6125,0,0.193493,0.06685233,0.07314445,14.95834,224.3751,0,1,1,1,52,52,0,3415169250,3,45,0,1,0,0,501,501,501,501,0,0,0,0,3,9,0,1,0,0.005358,0.193446,0.066268,0.07344253,0,-1,1,2,2,2,2,3,3,0,45,15,0,0,33.75,33.75,0,45,21.2132,21.2132,0.7071068,-1.5,7.5,193.5,100.5,193.5,193.5,193.5,0,7.5,186,131.5219,0,0,-2,IRC
B,3,0.007022,6,3,3,0,45,0,0,0,0,0,0.005405,0.002340667,0.001829737,427.2287,0,0,-1,1,1,64,64,0,1738105372,3,0,0,1,0,0,501,501,501,501,0,0,0,0,3,9,0,1,0,4.70E-05,0.001706,0.000614,0.000570135,0.06688201,0.07344475,2,1,1,1,0.5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,5.5,3.5,5.5,5.5,5.5,0,1.5,4,2.828427,0,0,-2,IRC
A,3,0,17,1,0,61,0,61,61,61,0,0,0,0,0,0,0,1,1,65535,0,114,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65535,0,0,0,0,-1,1,1,1,1,1,1,1,61,61,61,61,61,61,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRC
A,6,0.393567,17,9,5,4723,1456,318,592,524.7778,88.09634,0,0.228597,0.04372967,0.06667162,22.86777,12000.5,0.2857143,0.5287263,1,19,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06194,0.08365,0.05805644,0.01581907,0,-1,1,4,2,2,2,9,6,318,592,524.7778,474.5,592,592,117.5,592,274,102.2782,87.10275,-1.198304,-0.3225446,0.5,227.5,49.375,0.5,0.5,90.5,90,0.5,227,81.05984,66.717,1.477632,0.927108,IRC
B,6,0.55342,17,5,9,1456,4723,54,592,291.2,176.5737,0,0.229924,0.110684,0.08865085,9.034729,2630.913,-0.2857143,-0.5287263,1,22,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.006874,0.166727,0.0724992,0.06744207,0.1305556,0.06927247,4,1,1,1,0.25,5,5,54,592,291.2,68.25,348,439.75,371.5,54,538,203.542,203.542,0.1091169,-1.40117,0.5,227.5,137.5,94.5,227.5,227.5,133,227.5,227,110.7821,98.5929,-0.3376985,-1.563214,IRC
A,6,0.101066,6,3,3,3217,0,702,1448,1072.333,215.3737,0,0.051568,0.03368867,0.01762747,29.68357,31830.69,0,1,1,1,64,64,0,1167652399,3,2150,0,0,0,0,501,501,501,501,0,0,0,0,3,9,0,1,0,65535,0,0,0,0,-1,2,1,2,2,1,3,3,702,1448,1072.333,793.25,1067,1352.75,559.5,702,746,304.5766,304.5766,0.0262602,-1.5,49.5,51.5,50.5,51.5,51.5,51.5,0,49.5,2,1.414214,0,0,-2,IRC
B,6,0.101024,6,3,3,0,3217,0,0,0,0,0,0.064202,0.03367467,0.01862239,29.69591,0,0,-1,1,1,46,46,0,4092506340,3,0,0,2,1769,1,501,501,501,501,0,0,0,0,3,9,0,1,0,0.113315,0.214339,0.1683903,0.03236127,0.1683903,0.03236127,1,2,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5,64.5,50.5,64.5,64.5,64.5,0,36.5,28,19.79899,0,0,-2,IRC
A,9,0.153762,6,3,3,41,0,0,41,13.66667,14.22472,0,0.153095,0.051254,0.05879825,19.51067,266.6459,0,1,1,1,53,53,0,4214005526,3,41,0,1,0,0,173,173,173,173,0,0,0,0,3,9,0,1,0,0.000344,0.153078,0.05114067,0.05885363,0,-1,1,2,2,2,2,3,3,0,41,13.66667,0,0,30.75,30.75,0,41,19.32759,19.32759,0.7071066,-1.5,0.5,153.5,77,153.5,153.5,153.5,0,0.5,153,108.1873,0,0,-2,IRC
