%dir,flowInd,duration,l4Proto,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpOptPktCnt,tcpOptCnt,tcpMSS,tcpWS,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,connSip,connDip,connSipDip,connSipDprt,connF,nFpCnt,tCnt,dsMinPl,dsMaxPl,dsMeanPl,dsLowQuartilePl,dsMedianPl,dsUppQuartilePl,dsIqdPl,dsModePl,dsRangePl,dsStdPl,dsRobStdPl,dsSkewPl,dsExcPl,dsMinIat,dsMaxIat,dsMeanIat,dsLowQuartileIat,dsMedianIat,dsUppQuartileIat,dsIqdIat,dsModeIat,dsRangeIat,dsStdIat,dsRobStdIat,dsSkewIat,dsExcIat,TrafficType
A,6,6.148787,17,20,17,3304,8179,48,880,165.2,236.4023,0,4.26401,0.3074394,0.8799771,3.252674,537.3417,0.08108108,-0.4245406,1,711,111,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.070324,4.500479,0.4065926,0.9052098,0,-1,1,4,4,2,2,20,9,48,880,165.2,48,48,64,16,48,832,256.9236,11.8608,2.133074,3.066004,0.5,1000,152,0.5,3,242.5,242,0.5,999.5,245.0341,179.3946,2.287861,5.558568,Snark
B,6,5.782171,17,17,20,8179,3304,58,592,481.1176,139.2917,0,4.546371,0.3401277,1.011385,2.940072,1414.521,-0.08108108,0.4245406,1,577,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.001236,0.170218,0.02305888,0.04225291,0.4296515,0.9061954,4,1,3,1,0.25,17,11,58,592,481.1176,330.25,565,592,261.75,592,534,151.5539,151.5539,-1.389223,1.016665,0.5,1000,140.1562,0.5,0.5,247.5,247,0.5,999.5,254.1209,183.1011,2.58551,6.389671,Snark
A,2,9.803863,6,39,61,0,69960,0,0,0,0,0,0.838127,0.2513811,0.1518857,3.978024,0,-0.22,-1,7,149,111,111,0,2504581758,39,0,0,38,71065,0,260,258.1521,255,260,8,8,15,0,39,117,0,1,0,0.002692,0.441268,0.1045955,0.09372596,0,-1,1,4,2,2,2,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,835,257.9605,162.5,237.5,337.5,175,242.5,797.5,158.1406,129.7275,1.384103,2.865432,Snark
B,2,9.322346,6,61,39,69960,0,1062,2193,1146.885,213.0502,0,0.800642,0.1528254,0.1315727,6.543417,7504.549,0.22,1,1,2,64,64,0,3717338590,61,68891,0,0,0,0,501,501,501,501,0,0,0,0,61,183,0,1,0,0.001312,0.773602,0.2211998,0.169647,0.3257953,0.1938161,4,1,1,1,0.25,20,61,1062,2193,1146.885,1076.75,1098,1113.75,37,1069,1131,230.3256,27.4281,4.134801,15.26104,11.5,805,155.1833,60.5,138.5,207.5,147,37.5,793.5,136.5445,108.9711,2.178461,7.05453,Snark
A,7,7.009384,17,18,16,3208,7033,48,880,178.2222,245.4224,0,4.460217,0.3894103,0.9667606,2.567986,457.6721,0.05882353,-0.3734987,1,13,118,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.001643,4.637688,0.3564653,0.9932083,0,-1,1,3,4,2,2,18,10,48,880,178.2222,48,48,64,16,48,832,267.6722,11.8608,1.95914,2.321352,0.5,1000,208.7647,0.5,88.5,181,180.5,0.5,999.5,334.8981,133.8046,1.56534,0.8755,Snark
B,7,6.272298,17,16,18,7033,3208,50,592,439.5625,171.1143,0,5.192457,0.3920187,1.178919,2.550899,1121.28,-0.05882353,0.3734987,1,230,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000696,0.741567,0.09352819,0.182529,0.4499934,1.009841,3,1,3,1,0.3333333,16,12,50,592,439.5625,305.5,538,592,286.5,592,542,183.7369,183.7369,-0.987107,-0.3384409,0.5,1000,138.9333,0.5,89,180.5,180,0.5,999.5,254.092,133.434,2.784297,7.146642,Snark
A,3,9.697284,6,22,28,0,30621,0,0,0,0,0,1.499126,0.4407856,0.3130621,2.268677,0,-0.12,-1,1,10,118,118,0,3194590435,22,0,0,21,28393,0,510,513.1354,510,514,8,9,17,0,22,66,0,1,0,0.013921,0.308288,0.190725,0.08425356,0,-1,1,3,2,2,2,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,99.5,1000,438.5714,290,410,505,215,302.5,900.5,267.3626,159.3795,0.6958075,-0.3704238,Snark
B,3,9.486024,6,28,22,30621,0,1061,1127,1093.607,17.49636,0,1.467559,0.3387866,0.3046748,2.951711,3228.012,0.12,1,1,1,64,64,0,1574265622,28,29520,0,0,0,0,501,501,501,501,0,0,0,0,28,84,0,1,0,0.001666,1.421012,0.3420987,0.3351643,0.5328237,0.3455919,3,1,1,1,0.3333333,20,28,1061,1127,1093.607,1081.5,1095,1108.5,27,1097,66,18.80984,18.80984,0.000458375,-0.8602676,41.5,1000,334.2593,118.5,290,475,356.5,55.5,958.5,272.5446,264.2734,1.061029,0.2097244,Snark
A,1,9.914461,17,1039,58,1137873,12120,1088,1103,1095.162,4.633781,0,0.446095,0.009542306,0.03192005,104.7964,114769,0.8942571,0.9789216,1,65,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.50E-05,0.488244,0.08215115,0.07763348,0,-1,1,2,2,2,2,20,253,1088,1103,1095.162,1091,1095,1099,8,1090,15,4.648246,4.648246,0.1183808,-1.214913,0.5,445,9.833816,0.5,0.5,2.5,2,0.5,444.5,31.9454,1.4826,6.615765,58.36772,Snark
B,1,9.921835,17,58,1039,12120,1137873,149,290,208.9655,35.14114,0,0.506504,0.1710661,0.1049039,5.845693,1221.548,-0.8942571,-0.9789216,2,118,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.00E-05,0.168984,0.02783603,0.03551593,0.1099872,0.08537176,2,1,1,1,0.5,20,57,149,290,208.9655,182,205,231,49,197,141,36.23913,36.23913,0.2095422,-0.6691589,55.5,505,173.7105,70.5,167,245,174.5,55.5,449.5,107.7215,107.7215,1.015375,1.037181,Snark
A,4,9.419869,6,46,45,53459,0,1063,2159,1162.152,207.4171,0,1.765088,0.2047797,0.2377186,4.883295,5675.132,0.01098901,1,1,2,117,117,0,2082882383,46,52382,0,0,0,0,1026,1026,1026,1026,0,0,0,0,0,0,0,1,0,1.80E-05,1.765025,0.20392,0.2385461,0,-1,1,1,2,2,2,20,46,1063,2159,1162.152,1082,1095.5,1114,32,1094,1096,233.3357,23.7216,3.548504,11.50184,0.5,1000,192.7222,104,151.5,247.5,143.5,134.5,999.5,177.2207,106.3765,2.904404,10.10017,Snark
B,4,9.419979,6,45,46,0,53459,0,0,0,0,0,1.765066,0.2093329,0.2407902,4.777081,0,-0.01098901,-1,1,1,64,64,0,1720476340,45,0,0,44,51321,0,10647,10653,10640,10653,2,3,5,0,0,0,0,1,0,6.00E-06,0.083628,0.002826978,0.01346766,0.2067469,0.238926,1,1,1,1,1,20,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1000,197.1818,106.5,165.5,257.5,151,134.5,999.5,180.2733,111.9363,2.740871,9.267719,Snark
A,3,8.303576,17,74,15,81059,2405,1088,1103,1095.392,4.510265,0,3.371325,0.1122105,0.3476056,8.911822,9761.938,0.6629214,0.9423704,1,734,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.028078,3.262809,0.3548397,0.6464782,0,-1,1,2,2,2,2,20,48,1088,1103,1095.392,1091,1096,1099,8,1099,15,4.620219,4.620219,-0.1474835,-1.257714,0.5,1000,81.53425,0.5,0.5,82,81.5,0.5,999.5,170.822,60.41595,3.350407,12.71973,Snark
B,3,8.353818,17,15,74,2405,81059,148,180,160.3333,8.620111,0,3.366158,0.5569212,0.6085284,1.795586,287.8923,-0.6629214,-0.9423704,3,637,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.010035,0.221419,0.1161574,0.0783015,0.4709971,0.6512029,2,1,1,1,0.5,15,15,148,180,160.3333,153.25,158,167.25,14,158,32,9.321422,9.321422,0.6748856,-0.6350434,237.5,1000,427.6786,262.5,312.5,465,202.5,247.5,762.5,258.0073,150.1133,1.392021,0.5031264,Snark
A,1,9.325446,6,107,101,167839,0,758,3256,1568.589,551.7878,0,0.832502,0.08715369,0.1569923,11.47398,17997.96,0.02884615,1,1,3,117,117,0,2045456401,107,166764,0,0,0,0,1026,1026,1026,1026,0,0,0,0,0,0,0,1,0,1.80E-05,0.832488,0.09078702,0.1563505,0,-1,1,1,2,2,2,20,102,758,3256,1568.589,1095.75,1460,2146.5,1050.75,1460,2498,567.1507,567.1507,0.8352998,-0.3576257,0.5,835,88.00943,1.5,10.5,96.5,95,1.5,834.5,160.7454,70.4235,2.757457,7.855996,Snark
B,1,9.325452,6,101,107,0,167839,0,0,0,0,0,0.832519,0.09233122,0.1587574,10.83057,0,-0.02884615,-1,1,1,64,64,0,1720476340,101,0,0,100,166722,0,10653,10651.49,10632,10653,18,21,29,0,0,0,0,1,0,4.00E-06,0.042099,0.000466069,0.004142419,0.09125309,0.1564054,1,1,1,1,1,20,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,835,93.28999,1.5,20.5,102.5,101,1.5,834.5,162.7473,74.8713,2.672678,7.380648,Snark
A,2,9.208013,6,41,40,44811,0,1061,1127,1092.951,19.82753,0,0.700244,0.2245857,0.1420207,4.452644,4866.522,0.01234568,1,1,1,64,64,0,1106762994,41,43712,0,0,0,0,501,501,501,501,0,0,0,0,41,123,0,1,0,0.002802,0.467014,0.1332797,0.1198907,0,-1,1,1,2,2,2,20,41,1061,1127,1092.951,1073.75,1091,1112,38.25,1086,66,20.75402,20.75402,0.01220916,-1.341361,39.5,705,230.1625,117.5,222.5,277.5,160,222.5,665.5,149.708,118.608,1.486109,2.663264,Snark
B,2,9.003553,6,40,41,0,44811,0,0,0,0,0,0.700284,0.2250888,0.1438031,4.44269,0,-0.01234568,-1,1,1,54,54,0,2030407234,40,0,0,39,42603,0,2009,2016.962,2009,2017,0,1,1,0,40,120,0,1,0,0.004079,0.238629,0.1391389,0.08664092,0.2724185,0.1479203,1,1,1,1,1,20,32,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,705,230.8846,117.5,227.5,272.5,155,227.5,665.5,151.877,114.9015,1.45004,2.473017,Snark
A,1,0.158169,6,3,4,1113,3155,0,891,371,306.9859,0,0.154501,0.052723,0.05283318,18.96705,7036.777,-0.1428571,-0.4784442,1,1,115,115,0,1505991211,3,222,0,1,3155,0,512,512,512,512,0,0,0,0,0,0,0,1,0,0.150642,0.15431,0.1016507,0.05306052,0,-1,1,6,2,2,2,3,3,0,891,371,55.5,222,723.75,668.25,0,891,378.7004,378.7004,0.5292687,-1.5,3.5,154.5,79,154.5,154.5,154.5,0,3.5,151,106.7731,0,0,-2,Snark
B,1,0.201494,6,4,3,3155,1113,0,2252,788.75,752.7913,0,0.197682,0.0503735,0.07366084,19.85171,15658.04,0.1428571,0.4784442,1,2,64,64,0,657404112,4,3155,0,1,891,0,501,501,501,501,0,0,0,0,0,0,0,1,0,4.70E-05,0.043372,0.01269925,0.0153765,0.1143499,0.05524361,6,1,1,1,0.1666667,4,4,0,2252,788.75,0,451.5,1577.5,1577.5,0,2252,921.7384,921.7384,0.6873398,-1.144086,0.5,197.5,67.16666,3.5,100.5,197.5,194,0.5,197,112.882,112.882,0.7065451,-1.5,Snark
A,6,0.000076,6,2,2,3147,0,1452,1695,1573.5,85.91348,0,7.60E-05,3.80E-05,2.69E-05,26315.79,4.14E+07,0,1,1,1,118,118,0,3515672482,2,1452,0,0,0,0,512,512,512,512,0,0,0,0,0,0,0,1,0,2.20E-05,2.20E-05,1.10E-05,7.78E-06,0,-1,1,5,2,2,2,2,2,1452,1695,1573.5,1452,1573.5,1695,243,1452,243,121.5,121.5,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,Snark
B,6,0.000034,6,2,2,0,3147,0,0,0,0,0,3.40E-05,1.70E-05,1.20E-05,58823.53,0,0,-1,1,1,64,64,0,922301483,2,0,0,1,1695,0,501,497.4,489,501,1,0,0,0,0,0,0,1,0,1.20E-05,5.40E-05,3.30E-05,1.48E-05,4.40E-05,1.68E-05,5,1,1,1,0.2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Snark
A,5,5.954215,17,28,24,3688,12776,48,880,131.7143,207.0182,0,4.276096,0.2126506,0.7631029,4.702551,619.3931,0.07692308,-0.5519922,1,65534,118,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.178373,4.454469,0.325224,0.7715099,0,-1,1,4,2,2,2,20,10,48,880,131.7143,48,48,48,0,48,832,223.5018,0,2.72608,6.086141,0.5,1000,99.59259,0.5,0.5,180.5,180,0.5,999.5,200.7193,133.434,3.488918,13.22919,Snark
