%dir,flowInd,duration,l4Proto,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpOptPktCnt,tcpOptCnt,tcpMSS,tcpWS,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,connSip,connDip,connSipDip,connSipDprt,connF,nFpCnt,tCnt,dsMinPl,dsMaxPl,dsMeanPl,dsLowQuartilePl,dsMedianPl,dsUppQuartilePl,dsIqdPl,dsModePl,dsRangePl,dsStdPl,dsRobStdPl,dsSkewPl,dsExcPl,dsMinIat,dsMaxIat,dsMeanIat,dsLowQuartileIat,dsMedianIat,dsUppQuartileIat,dsIqdIat,dsModeIat,dsRangeIat,dsStdIat,dsRobStdIat,dsSkewIat,dsExcIat,TrafficType
A,1,9.534182,6,90,148,23952,192222,0,1448,266.1333,483.2834,0,0.684951,0.1059353,0.2036252,9.439719,2512.224,-0.2436975,-0.7784007,1,1,64,64,0,4155842599,90,22954,0,70,189776,0,3255,3243.67,3197,3255,37,25,39,0,90,270,0,1,0,3.00E-06,0.638055,0.02347293,0.09122819,0,-1,1,1,2,2,2,20,39,0,1448,266.1333,0,0,0,0,0,1448,492.0985,0,1.491788,0.5759339,0.5,685,107.2753,0.5,7,84.5,84,0.5,684.5,210.4988,62.2692,2.06899,2.596809,JonDonym
B,1,9.417851,6,148,90,192222,23952,0,2388,1298.797,524.283,0,0.689775,0.06363411,0.1613961,15.71484,20410.39,0.2436975,0.7784007,1,2,53,53,0,2344427814,148,190774,0,19,22954,0,1432,1431.939,1387,1432,18,10,17,0,148,444,0,1,0,1.30E-05,0.684941,0.09371086,0.2042029,0.1171838,0.2236547,1,1,1,1,1,20,35,0,2388,1298.797,1448,1448,1448,0,1448,2388,530.2451,0,-1.067866,1.992081,0.5,685,64.29592,0.5,0.5,28.5,28,0.5,684.5,164.3238,20.7564,2.918723,7.182783,JonDonym
A,1,9.161773,6,95,169,46906,270458,0,1448,493.7474,584.9402,0,2.850524,0.0964397,0.2702632,10.36917,5119.751,-0.280303,-0.7044025,1,1,64,64,0,4164230789,95,46906,0,63,269460,0,3255,3237.562,3013,3255,32,18,31,0,95,285,0,1,0,9.00E-06,2.725143,0.05660148,0.2541367,0,-1,1,1,2,2,2,20,55,0,1448,493.7474,0,0,998,998,0,1448,597.4943,597.4943,0.554748,-1.438346,0.5,1000,77.68617,1.5,23.5,83.5,82,0.5,999.5,156.7839,60.7866,3.785206,16.09481,JonDonym
B,1,9.161772,6,169,95,270458,46906,0,24616,1600.343,2605.713,0,2.850418,0.05421167,0.2055659,18.44621,29520.27,0.280303,0.7044025,1,17,53,53,0,2403154126,169,268070,0,40,46906,0,1432,1430.141,1373,1432,32,14,23,0,169,507,0,1,0,4.00E-06,0.786262,0.0616183,0.1213606,0.1182198,0.2816272,1,1,1,1,1,20,67,0,24616,1600.343,998,1448,1448,450,1448,24616,2622.292,333.585,6.54315,48.81765,0.5,1000,43.69345,0.5,0.5,40.5,40,0.5,999.5,117.9935,29.652,5.502254,35.5766,JonDonym
A,1,9.68641,6,119,143,18962,194610,0,1448,159.3445,406.1252,0,0.689425,0.08139838,0.1886851,12.28525,1957.588,-0.09160306,-0.8224299,1,1,64,64,0,4163815621,119,17964,0,103,193612,0,3255,3244.116,3197,3255,70,29,39,0,119,357,0,1,0,4.00E-06,0.626708,0.01941627,0.09266251,0,-1,1,1,2,2,2,20,32,0,1448,159.3445,0,0,0,0,0,1448,411.5315,0,2.299468,3.587945,0.5,685,82.30932,0.5,0.5,50.5,50,0.5,684.5,192.8002,37.065,2.583849,5.080926,JonDonym
B,1,9.811731,6,143,119,194610,18962,0,2388,1360.909,505.7575,0,0.689007,0.06861348,0.1729218,14.57439,19834.42,0.09160306,0.8224299,1,2,53,53,0,2400385674,143,194610,0,13,18962,0,1432,1428.13,1343,1432,12,5,8,0,143,429,0,1,0,3.80E-05,0.689399,0.08737428,0.2013734,0.1067906,0.22167,1,1,1,1,1,20,21,0,2388,1360.909,1448,1448,1448,0,1448,2388,512.5664,0,-0.9280135,2.549821,0.5,685,69.47535,0.5,0.5,13.5,13,0.5,684.5,176.4664,9.6369,2.89404,6.982496,JonDonym
A,1,6.419793,6,60,91,16966,131736,0,1448,282.7667,484.4436,0,1.989291,0.1069966,0.2627236,9.346095,2642.764,-0.205298,-0.7718121,1,1,64,64,0,4154853581,60,16966,0,45,131736,0,3255,3247.656,3118,3255,26,12,22,0,60,180,0,1,0,4.00E-06,1.989331,0.05557313,0.2459304,0,-1,1,1,2,2,2,20,26,0,1448,282.7667,0,0,323,323,0,1448,502.7468,239.4399,1.363149,0.140034,0.5,1000,92.32203,0.5,1.5,121.5,121,0.5,999.5,185.1595,89.6973,2.900503,9.2788,JonDonym
B,1,6.294457,6,91,60,131736,16966,0,10942,1447.648,1411.113,0,2.114663,0.06916986,0.2219426,14.45716,20928.89,0.205298,0.7718121,1,8,53,53,0,2337376944,91,130738,0,15,15968,1,1424,1422.21,1405,1432,13,7,13,0,91,273,0,1,0,1.40E-05,0.602578,0.06090882,0.1217508,0.1164819,0.2744176,1,1,1,1,1,20,30,0,10942,1447.648,998,1448,1448,450,1448,10942,1427.392,333.585,4.010544,22.09896,0.5,1000,57.79445,0.5,0.5,49.5,49,0.5,999.5,142.5058,36.3237,4.118693,21.02575,JonDonym
A,1,9.604512,6,88,143,12974,194610,0,1448,147.4318,361.0241,0,0.682119,0.1091422,0.2071959,9.16236,1350.823,-0.2380952,-0.875,1,1,64,64,0,4159723821,88,12974,0,74,192164,0,3255,3234.589,3197,3255,46,24,33,0,88,264,0,1,0,4.00E-06,0.083905,0.003336136,0.01275953,0,-1,1,1,2,2,2,20,28,0,1448,147.4318,0,0,0,0,0,1448,373.1054,0,2.375951,4.247732,0.5,685,110.6092,0.5,1.5,123.5,123,0.5,684.5,214.0657,91.1799,2.04176,2.567003,JonDonym
B,1,9.604711,6,143,88,194610,12974,0,2896,1360.909,533.2411,0,0.681795,0.06716581,0.1672062,14.88853,20261.93,0.2380952,0.875,1,2,53,53,0,2370131304,143,192222,0,13,12974,0,1432,1431.481,1402,1432,12,3,5,0,143,429,0,1,0,1.30E-05,0.682087,0.1062186,0.2146988,0.1095547,0.2150776,1,1,1,1,1,20,20,0,2896,1360.909,1448,1448,1448,0,1448,2896,540.4155,0,-0.7432661,2.22778,0.5,685,67.9824,0.5,0.5,7.5,7,0.5,684.5,170.5715,5.1891,2.912808,7.245423,JonDonym
