%dir,flowInd,duration,l4Proto,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpOptPktCnt,tcpOptCnt,tcpMSS,tcpWS,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,connSip,connDip,connSipDip,connSipDprt,connF,nFpCnt,tCnt,dsMinPl,dsMaxPl,dsMeanPl,dsLowQuartilePl,dsMedianPl,dsUppQuartilePl,dsIqdPl,dsModePl,dsRangePl,dsStdPl,dsRobStdPl,dsSkewPl,dsExcPl,dsMinIat,dsMaxIat,dsMeanIat,dsLowQuartileIat,dsMedianIat,dsUppQuartileIat,dsIqdIat,dsModeIat,dsRangeIat,dsStdIat,dsRobStdIat,dsSkewIat,dsExcIat,TrafficType
A,1,9.984705,6,10035,5421,27883926,1298744,0,53576,2778.667,2210.541,0,0.06063,0.000994987,0.00308435,1005.037,2792664,0.2985249,0.9109921,1,37,42,42,0,3008542629,10035,27883926,0,613,1280694,0,8945,8988.496,8864,8999,408,386,710,0,10035,30105,0,1,0,0.000002,0.072634,0.001653787,0.004026894,0,-1,1,1,2,2,2,20,208,0,53576,2778.667,1448,1448,2896,1448,1448,53576,2211.061,1073.402,3.878801,39.27437,0.5,60.5,1.333865,0.5,0.5,0.5,0,0.5,60,2.9903,0,6.480714,62.78284,Bittorrent
B,1,9.950934,6,5421,10035,1298744,27883926,0,5792,239.5765,643.9719,0,0.07267,0.00183563,0.004162574,544.7729,130514.8,-0.2985249,-0.9109921,1,4,64,64,0,202404991,5421,1298514,0,4937,27879582,0,24544,24542.79,23144,24567,2689,2378,3607,0,5421,16263,0,1,0,0.000002,0.038367,0.000269003,0.001504415,0.00192279,0.004298737,1,1,1,1,1,20,144,0,5792,239.5765,0,0,0,0,0,5792,644.2792,0,3.179489,12.33143,0.5,72.5,2.043543,0.5,0.5,1.5,1,0.5,72,4.095212,0.7413,5.593747,48.86963,Bittorrent
A,1,9.99513,6,6686,3716,18592056,934192,0,39096,2780.744,2250.218,0,0.041245,0.001494934,0.003874865,668.9258,1860112,0.285522,0.9043142,1,27,42,42,0,3166473943,6686,18589160,0,505,937824,0,8999,8967.226,8924,8999,294,275,522,0,6686,20058,0,1,0,0.000002,0.035828,0.002523625,0.004844142,0,-1,1,1,2,2,2,20,205,0,39096,2780.744,1448,2896,2896,1448,1448,39096,2252.993,1073.402,4.241587,36.6086,0.5,41.5,1.818325,0.5,0.5,0.5,0,0.5,41,3.758306,0,4.076395,19.58433,Bittorrent
B,1,9.995223,6,3716,6686,934192,18592056,0,4344,251.3972,612.3281,0,0.040778,0.002689782,0.004876274,371.7776,93463.84,-0.285522,-0.9043142,1,3,64,64,0,209819315,3716,932744,0,3346,18580472,0,24523,24499.07,24117,24567,1791,1681,2482,0,3716,11148,0,1,0,0.000001,0.020913,0.000301425,0.001334148,0.002825051,0.005024506,1,1,1,1,1,20,138,0,4344,251.3972,0,0,0,0,0,4344,612.9221,0,2.637177,7.842817,0.5,40.5,2.871198,0.5,0.5,2.5,2,0.5,40,4.790639,1.4826,3.025374,10.7313,Bittorrent
A,1,9.995859,6,8728,5166,28499286,1357532,0,65160,3265.271,3124.421,0,0.040596,0.001145262,0.002910901,873.1616,2851109,0.2563697,0.9090639,1,45,42,42,0,2865638483,8728,28496390,0,669,1355260,0,8999,8998.999,8927,8999,379,361,657,0,8728,26184,0,1,0,0.000002,0.065959,0.00199865,0.004473337,0,-1,1,1,2,2,2,20,200,0,65160,3265.271,1448,2896,2896,1448,1448,65160,3125.284,1073.402,4.106949,38.17882,0.5,40.5,1.454624,0.5,0.5,0.5,0,0.5,40,2.806708,0,4.853243,31.04065,Bittorrent
B,1,9.995835,6,5166,8728,1357532,28499286,0,4344,262.782,649.7043,0,0.066001,0.001934928,0.003809938,516.8152,135809.8,-0.2563697,-0.9090639,1,3,64,64,0,195671041,5166,1357532,0,4626,28497838,0,24563,24487.23,23668,24567,2467,2267,3245,0,5166,15498,0,1,0,0.000001,0.025119,0.000257838,0.001196141,0.002256488,0.004630496,1,1,1,1,1,20,136,0,4344,262.782,0,0,0,0,0,4344,650.2188,0,2.791442,8.972097,0.5,66.5,2.116263,0.5,0.5,2.5,2,0.5,66,3.740141,1.4826,5.325078,48.55885,Bittorrent
A,1,9.989169,6,8740,5234,26685026,1285404,0,44888,3053.207,2663.28,0,0.073393,0.001142925,0.003122008,874.9476,2671396,0.2508945,0.9080884,1,31,42,42,0,2838953457,8739,27019408,1,655,1283100,0,8999,8998.741,8828,8999,356,345,643,0,8740,26220,0,1,0,0.000001,0.095356,0.001854358,0.004259387,0,-1,1,1,2,2,2,20,201,0,44888,3053.207,1448,2896,2896,1448,1448,44888,2665.348,1073.402,3.512274,22.25366,0.5,73.5,1.461666,0.5,0.5,0.5,0,0.5,73,3.022691,0,6.233434,67.88475,Bittorrent
B,1,9.982299,6,5234,8740,1285404,26685026,0,5792,245.5873,642.7888,0,0.095408,0.001907204,0.0039948,524.3281,128768.3,-0.2508945,-0.9080884,1,4,64,64,0,194385637,5234,1283956,0,4599,26666202,119,24483,24480.42,22170,24567,2461,2230,3217,0,5234,16080,0,1,0,0.000002,0.036921,0.000257117,0.001239231,0.002111475,0.004435998,1,1,1,1,1,20,140,0,5792,245.5873,0,0,0,0,0,5792,643.1788,0,3.197544,13.35563,0.5,95.5,2.102714,0.5,0.5,2.5,2,0.5,95,3.921415,1.4826,6.401758,85.21169,Bittorrent
A,1,9.99104,6,5954,3424,17321516,1400192,0,65160,2909.223,2737.51,0,0.183258,0.001678035,0.005614843,595.934,1733705,0.2697803,0.8504205,1,45,42,42,0,2756429313,5954,17318620,0,462,1372022,8,8990,8980.386,8792,8999,144,130,233,0,5954,18027,0,1,0,0.000002,0.142191,0.00310116,0.008773558,0,-1,1,1,2,2,2,20,232,0,65160,2909.223,1448,2896,2896,1448,1448,65160,2739.405,1073.402,5.302931,65.12534,0.5,183.5,1.995045,0.5,0.5,0.5,0,0.5,183,5.528277,0,10.51329,227.947,Bittorrent
B,1,9.991035,6,3424,5954,1400192,17321516,0,5792,408.9346,1025.383,0,0.142234,0.002917941,0.007824133,342.7072,140144.8,-0.2697803,-0.8504205,1,4,64,64,0,188721131,3423,1431764,1,2973,17318620,0,24542,24531.91,23948,24567,1687,1408,2116,0,3424,10272,0,1,0,0.000001,0.051118,0.000530118,0.002844196,0.003631277,0.009223056,1,1,1,1,1,20,168,0,5792,408.9346,0,0,0,0,0,5792,1026.329,0,3.205799,11.10699,0.5,142.5,3.095969,0.5,0.5,2.5,2,0.5,142,7.770492,1.4826,7.150614,76.46198,Bittorrent
