%dir,flowInd,duration,l4Proto,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpOptPktCnt,tcpOptCnt,tcpMSS,tcpWS,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,connSip,connDip,connSipDip,connSipDprt,connF,nFpCnt,tCnt,dsMinPl,dsMaxPl,dsMeanPl,dsLowQuartilePl,dsMedianPl,dsUppQuartilePl,dsIqdPl,dsModePl,dsRangePl,dsStdPl,dsRobStdPl,dsSkewPl,dsExcPl,dsMinIat,dsMaxIat,dsMeanIat,dsLowQuartileIat,dsMedianIat,dsUppQuartileIat,dsIqdIat,dsModeIat,dsRangeIat,dsStdIat,dsRobStdIat,dsSkewIat,dsExcIat,TrafficType
A,2,8.639662,6,58,61,24708,83744,0,1448,426,542.2596,0,1.771298,0.1489597,0.2355036,6.713226,2859.834,-0.02521008,-0.5443514,1,1,64,64,0,1478560637,58,24708,0,38,83208,0,7347,7344.853,7313,7347,13,15,23,0,58,174,0,1,0,1.00E-05,0.393102,0.03006166,0.06724507,0,-1,1,1,2,2,2,20,51,0,1448,426,0,0,746,746,0,1448,559.079,553.0098,0.888808,-0.8216779,0.5,1000,137.8158,26,83,177.5,151.5,0.5,999.5,193.7474,112.3069,2.950029,10.07156,Browsing
B,2,8.64095,6,61,58,83744,24708,0,5792,1372.852,1515.182,0,1.81185,0.1416549,0.2331824,7.059409,9691.526,0.02521008,0.5443514,1,4,47,47,0,2224849990,61,82810,0,23,24172,0,1006,1005.995,1004,1006,2,2,3,0,61,183,0,1,0,4.00E-05,1.771264,0.1574504,0.2262467,0.187512,0.2360285,1,1,1,1,1,20,54,0,5792,1372.852,0,536,2896,2896,0,5792,1552.544,1552.544,1.101624,0.3293531,0.5,1000,130.3083,20.5,89.5,183.5,163,0.5,999.5,188.6304,120.8319,3.182545,11.44557,Browsing
A,1,9.842533,6,40,44,17086,32190,0,1448,427.15,370.14,0,2.679633,0.2460633,0.369295,4.063994,1735.935,-0.04761905,-0.3065184,1,1,64,64,0,1469603571,40,16550,0,30,31654,0,5435,5432.653,5421,5435,3,4,5,0,40,120,0,1,0,2.40E-05,2.720269,0.08185816,0.3846527,0,-1,1,1,2,2,2,20,27,0,1448,427.15,0,536,536,536,536,1448,384.9883,384.9883,0.5523815,-0.2897861,0.5,1000,209.1282,85.5,247.5,252.5,167,247.5,999.5,174.7884,123.7971,2.234925,8.808939,Browsing
B,1,9.845877,6,44,40,32190,17086,0,2896,731.5909,616.2257,0,2.968282,0.2237699,0.4025712,4.468876,3269.389,0.04761905,0.3065184,1,2,47,47,0,2166700730,44,31654,0,24,16550,0,501,501,501,501,0,0,0,0,44,132,0,1,0,1.80E-05,0.406229,0.181043,0.1068541,0.2629012,0.3992186,1,1,1,1,1,20,33,0,2896,731.5909,536,536,1166,630,536,2896,630.9565,467.019,1.102425,1.485281,0.5,1000,182.8837,67.5,247.5,247.5,180,247.5,999.5,167.7936,133.434,2.549139,11.04106,Browsing
A,3,8.978939,6,33,37,15434,15390,0,1448,467.697,428.0302,0,2.002951,0.272089,0.3633992,3.675267,1718.911,-0.05714286,0.001427459,1,1,64,64,0,1470649157,33,14898,0,18,15390,0,6414,6413.718,6406,6414,1,1,1,0,33,99,0,1,0,2.60E-05,1.754678,0.1146038,0.3536746,0,-1,1,1,2,2,2,20,30,0,1448,467.697,0,536,1050,1050,0,1448,451.8273,451.8273,0.4058712,-1.160685,0.5,1000,244.8438,112.5,242.5,317.5,205,247.5,999.5,238.9436,151.9665,1.911935,3.951337,Browsing
B,3,8.979303,6,37,33,15390,15434,0,1448,415.946,457.0827,0,2.003328,0.2426839,0.3755096,4.120587,1713.941,0.05714286,-0.001427459,1,1,47,47,0,2176581488,37,15390,0,19,14384,0,501,500.9986,497,501,1,1,1,0,37,111,0,1,0,0.000737,0.383218,0.1991898,0.0969714,0.3137935,0.3667277,1,1,1,1,1,20,29,0,1448,415.946,0,536,536,536,0,1448,471.8879,397.3368,0.7479469,-0.6997011,0.5,1000,210.4583,53.5,135.5,247.5,194,247.5,999.5,243.7622,143.8122,2.28932,4.769712,Browsing
A,1,0,6,1,1,0,536,0,0,0,0,0,0,0,0,0,0,0,-1,65535,0,64,64,0,1474594313,1,0,0,0,0,0,7347,7347,7347,7347,0,0,0,0,1,3,0,1,0,4.10E-05,4.10E-05,4.10E-05,0,0,-1,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Browsing
B,1,0,6,1,1,536,0,536,536,536,0,0,0,0,0,0,0,0,1,65535,0,47,47,0,2198125548,1,0,0,0,0,0,539,539,539,539,0,0,0,0,1,3,0,1,0,65535,0,0,0,4.10E-05,0,1,1,1,1,1,1,1,536,536,536,536,536,536,0,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Browsing
A,1,8.671849,6,104,113,28768,220386,0,1448,276.6154,472.4223,0,0.970052,0.08338315,0.1265591,11.99283,3317.401,-0.04147466,-0.7690746,1,1,64,64,0,1474882845,104,28232,0,75,220386,0,7347,7341.791,7306,7347,31,31,51,0,104,312,0,1,0,5.00E-06,1.013782,0.02817371,0.1096509,0,-1,1,1,2,2,2,20,78,0,1448,276.6154,0,0,536,536,0,1448,478.3824,397.3368,1.602726,1.158191,0.5,975,84.23301,12.5,42.5,117.5,105,0.5,974.5,131.5012,77.8365,3.942761,20.71333,Browsing
B,1,8.729641,6,113,104,220386,28768,0,8688,1950.319,1574.962,0,1.262173,0.07725343,0.1431311,12.9444,25245.71,0.04147466,0.7690746,1,6,47,47,0,2201446250,113,220386,0,28,28232,0,539,538.9999,538,539,1,1,1,0,113,339,0,1,0,1.40E-05,0.556908,0.07669009,0.09258579,0.1048638,0.1435111,1,1,1,1,1,20,86,0,8688,1950.319,536,1448,2896,2360,2896,8688,1593.449,1593.449,0.8798248,1.494166,0.5,1000,75.65178,2.5,33.5,117.5,115,0.5,999.5,130.7139,85.2495,4.512832,26.00641,Browsing
