%dir,flowInd,duration,l4Proto,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpOptPktCnt,tcpOptCnt,tcpMSS,tcpWS,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,connSip,connDip,connSipDip,connSipDprt,connF,nFpCnt,tCnt,dsMinPl,dsMaxPl,dsMeanPl,dsLowQuartilePl,dsMedianPl,dsUppQuartilePl,dsIqdPl,dsModePl,dsRangePl,dsStdPl,dsRobStdPl,dsSkewPl,dsExcPl,dsMinIat,dsMaxIat,dsMeanIat,dsLowQuartileIat,dsMedianIat,dsUppQuartileIat,dsIqdIat,dsModeIat,dsRangeIat,dsStdIat,dsRobStdIat,dsSkewIat,dsExcIat,TrafficType
A,1,3.626344,6,2,2,536,536,0,536,268,189.5046,0,3.626344,1.813172,1.282106,0.5515197,147.8073,0,0,1,1,64,64,0,3082337454,2,536,0,1,536,0,24576,24574.8,24572,24576,1,0,0,0,2,6,0,1,0,3.40E-05,3.40E-05,1.70E-05,1.20E-05,0,-1,1,1,2,2,2,2,2,0,536,268,0,268,536,536,0,536,268,268,0,-2,1000,1000,1000,1000,1000,1000,0,1000,0,0,0,0,0,Chat
B,1,3.454351,6,2,2,536,536,0,536,268,189.5046,0,3.454351,1.727175,1.221298,0.57898,155.1666,0,0,1,1,51,51,0,866853789,2,0,0,0,0,0,24567,24567,24567,24567,0,0,0,0,2,6,0,1,0,0.171959,3.62631,1.899135,1.221298,1.899152,1.221298,1,1,1,1,1,2,2,0,536,268,0,268,536,536,0,536,268,268,0,-2,1000,1000,1000,1000,1000,1000,0,1000,0,0,0,0,0,Chat
A,1,9.932525,6,821,1239,95930,3111628,0,1448,116.8453,368.47,0,0.360391,0.01209807,0.02539111,82.65774,9658.169,-0.2029126,-0.940185,1,1,64,64,0,3089650748,821,95930,0,769,3110584,2,24576,24553.62,24430,24576,277,320,481,0,821,2472,0,1,0,3.00E-06,0.055963,0.001281308,0.006645063,0,-1,1,1,2,2,2,20,125,0,1448,116.8453,0,0,0,0,0,1448,369.6488,0,3.086683,7.883868,0.5,362.5,12.19024,1.5,3.5,11.5,10,0.5,362,25.49226,7.413,6.450004,63.94238,Chat
B,1,9.862718,6,1239,821,3111628,95930,0,4344,2511.403,1101.996,0,0.298749,0.007960225,0.01978208,125.6246,315494,0.2029126,0.940185,1,65534,51,51,0,926713111,1236,3119272,2,88,94322,0,24567,24567,24567,24567,0,0,0,0,1239,3717,0,1,0,7.00E-06,0.360348,0.009854609,0.02303173,0.01113592,0.02397118,1,1,1,1,1,20,192,0,4344,2511.403,1448,2896,2896,1448,2896,4344,1104.008,1073.402,0.03565546,-0.6626711,0.5,297.5,8.15105,0.5,1.5,6.5,6,0.5,297,19.72444,4.4478,6.915309,72.60291,Chat
A,2,6.885113,6,2,2,0,1072,0,0,0,0,0,6.885113,3.442556,2.434255,0.2904818,0,0,-1,1,1,64,64,0,3082335846,2,0,0,1,536,0,24568,24567.7,24567,24568,1,0,0,0,2,6,0,1,0,2.80E-05,4.60E-05,3.70E-05,6.36E-06,0,-1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,0,1000,0,0,0,0,0,Chat
B,2,6.885131,6,2,2,1072,0,536,536,536,0,0,6.885131,3.442565,2.434261,0.290481,155.6978,0,1,1,1,51,51,0,866852181,2,536,0,0,0,0,24567,24567,24567,24567,0,0,0,0,2,6,0,1,0,6.885085,6.885085,3.442543,2.434245,3.44258,2.434245,1,1,1,1,1,2,2,536,536,536,536,536,536,0,536,0,0,0,0,0,1000,1000,1000,1000,1000,1000,0,1000,0,0,0,0,0,Chat
A,3,0.460525,6,2,2,536,536,0,536,268,189.5046,0,0.460525,0.2302625,0.1628202,4.342869,1163.889,0,0,1,1,64,64,0,3052465310,2,536,0,1,536,0,24576,24574.8,24572,24576,1,0,0,0,2,6,0,1,0,5.10E-05,5.10E-05,2.55E-05,1.80E-05,0,-1,1,1,2,2,2,2,2,0,536,268,0,268,536,536,0,536,268,268,0,-2,460,460,460,460,460,460,0,460,0,0,0,0,0,Chat
B,3,0.288525,6,2,2,536,536,0,536,268,189.5046,0,0.288525,0.1442625,0.102009,6.931808,1857.725,0,0,1,1,51,51,0,865798365,2,0,0,0,0,0,24567,24567,24567,24567,0,0,0,0,2,6,0,1,0,0.171949,0.460474,0.3162115,0.102009,0.316237,0.102009,1,1,1,1,1,2,2,0,536,268,0,268,536,536,0,536,268,268,0,-2,285,285,285,285,285,285,0,285,0,0,0,0,0,Chat
A,1,5.150719,6,2,2,536,536,0,536,268,189.5046,0,5.150719,2.57536,1.821054,0.3882953,104.0631,0,0,1,1,64,64,0,3082358872,2,536,0,1,536,0,24576,24574.8,24572,24576,1,0,0,0,2,6,0,1,0,5.20E-05,5.20E-05,2.60E-05,1.84E-05,0,-1,1,1,2,2,2,2,2,0,536,268,0,268,536,536,0,536,268,268,0,-2,1000,1000,1000,1000,1000,1000,0,1000,0,0,0,0,0,Chat
B,1,4.978717,6,2,2,536,536,0,536,268,189.5046,0,4.978717,2.489358,1.760242,0.4017099,107.6583,0,0,1,1,51,51,0,866874025,2,0,0,0,0,0,24567,24567,24567,24567,0,0,0,0,2,6,0,1,0,0.17195,5.150667,2.661309,1.760242,2.661335,1.760242,1,1,1,1,1,2,2,0,536,268,0,268,536,536,0,536,268,268,0,-2,1000,1000,1000,1000,1000,1000,0,1000,0,0,0,0,0,Chat
