%dir,flowInd,duration,l4Proto,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpOptPktCnt,tcpOptCnt,tcpMSS,tcpWS,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,connSip,connDip,connSipDip,connSipDprt,connF,nFpCnt,tCnt,dsMinPl,dsMaxPl,dsMeanPl,dsLowQuartilePl,dsMedianPl,dsUppQuartilePl,dsIqdPl,dsModePl,dsRangePl,dsStdPl,dsRobStdPl,dsSkewPl,dsExcPl,dsMinIat,dsMaxIat,dsMeanIat,dsLowQuartileIat,dsMedianIat,dsUppQuartileIat,dsIqdIat,dsModeIat,dsRangeIat,dsStdIat,dsRobStdIat,dsSkewIat,dsExcIat,TrafficType
A,1,9.990334,6,7543,3760,18327448,567910,0,10136,2429.729,1216.819,0,0.050076,0.001324448,0.003243092,755.0298,1834518,0.3346899,0.939889,1,7,53,53,0,2165731705,7543,18324552,0,388,563578,0,501,501,485,501,8,8,15,0,7543,22629,0,1,0,0,0.094594,0.002308293,0.004519237,0,-1,1,1,2,2,2,20,160,0,10136,2429.729,1448,2896,2896,1448,1448,10136,1217.396,1073.402,1.477455,3.857067,0.5,50.5,1.656192,0.5,0.5,1.5,1,0.5,50,3.122695,0.7413,5.124043,40.17978,FTP
B,1,9.990284,6,3760,7543,567910,18327448,0,2896,151.0399,435.8447,0,0.094642,0.002656993,0.004738618,376.3657,56846.23,-0.3346899,-0.939889,1,2,64,64,0,2423416976,3760,567910,0,3516,18325426,0,1789,14128.9,1789,14176,1570,1888,2426,0,3760,11280,0,1,0,0.000002,0.024556,0.000119654,0.000581639,0.002427947,0.004556513,1,1,1,1,1,20,110,0,2896,151.0399,0,0,0,0,0,2896,436.1779,0,2.616981,5.059422,0.5,94.5,2.834131,0.5,1.5,3.5,3,0.5,94,4.661687,2.2239,5.66319,65.54077,FTP
A,1,9.993651,6,7796,3719,19982062,616730,0,11584,2563.117,1375.648,0,0.065991,0.001281898,0.003593678,780.0953,1999476,0.3540599,0.9401198,1,8,53,53,0,2587499263,7796,19980614,0,394,612640,0,501,501,475,501,9,8,15,0,7796,23388,0,1,0,0.000004,0.070097,0.002244903,0.005022532,0,-1,1,1,2,2,2,20,173,0,11584,2563.117,1448,2896,2896,1448,1448,11584,1377.026,1073.402,1.638495,4.736362,0.5,65.5,1.62662,0.5,0.5,1.5,1,0.5,65,3.481466,0.7413,6.4448,61.75494,FTP
B,1,9.988748,6,3719,7796,616730,19982062,0,2896,165.8322,460.7467,0,0.070117,0.002685869,0.005350729,372.3189,61742.48,-0.3540599,-0.9401198,1,2,64,64,0,2436526054,3719,616730,0,3407,19970478,0,14108,14125.56,13103,14177,1686,1763,2618,0,3719,11157,0,1,0,0.000002,0.041411,0.000146419,0.001052035,0.002391322,0.005131531,1,1,1,1,1,20,121,0,2896,165.8322,0,0,0,0,0,2896,461.1967,0,2.546306,5.04199,0.5,70.5,2.864443,0.5,0.5,2.5,2,0.5,70,5.277226,1.4826,4.974842,35.00638,FTP
A,2,8.018906,6,30,35,10720,10184,0,536,357.3333,240.2193,0,3.333564,0.2672969,0.4624496,3.741159,1336.841,-0.07692308,0.02564103,1,1,64,64,0,2423372642,30,10184,0,18,10184,0,501,500.9916,494,501,3,3,5,0,30,90,0,1,0,0.00002,3.179521,0.114566,0.4527786,0,-1,1,1,2,2,2,20,24,0,536,357.3333,0,536,536,536,536,536,252.6728,252.6728,-0.7071068,-1.5,0.5,1000,196.0172,85,174,230,145,0.5,999.5,199.4768,107.4885,2.29816,7.137559,FTP
B,2,7.864432,6,35,30,10184,10720,0,1072,290.9714,282.562,0,3.332929,0.224698,0.426633,4.450417,1294.944,0.07692308,-0.02564103,1,1,53,53,0,2165461699,35,9648,0,18,9648,0,501,501,498,501,2,2,3,0,35,105,0,1,0,0.001271,0.407658,0.1859444,0.1030536,0.3005104,0.4643581,1,1,1,1,1,20,27,0,1072,290.9714,0,536,536,536,0,1072,296.1642,296.1642,0.3384573,-0.9380164,1.5,1000,162.5147,72.5,153.5,195.5,123,154.5,998.5,171.4193,91.1799,3.48631,14.98005,FTP
A,1,9.998638,6,6630,3248,17202494,539614,0,11584,2594.645,1449.494,0,0.06273,0.001508089,0.004078742,663.0903,1720484,0.342377,0.9391714,1,65525,53,53,0,2436139497,6629,17216974,0,353,541040,0,501,501,464,501,16,13,25,0,6630,19890,0,1,0,0.000002,0.087235,0.002624966,0.005628212,0,-1,1,1,2,2,2,20,175,0,11584,2594.645,1448,2896,2896,1448,1448,11584,1450.811,1073.402,1.812685,5.388006,0.5,62.5,1.839871,0.5,0.5,1.5,1,0.5,62,3.972394,0.7413,6.0509,53.35925,FTP
B,1,9.991161,6,3248,6630,539614,17202494,0,2896,166.1373,468.5276,0,0.092263,0.003076097,0.006230552,325.0873,54009.14,-0.342377,-0.9391714,1,2,64,64,0,2431822010,3248,538300,0,2994,17196702,0,14160,14149.25,13420,14177,1444,1562,2264,0,3248,9753,0,1,0,0.000002,0.042778,0.000187042,0.001472643,0.002812008,0.005817685,1,1,1,1,1,20,128,0,2896,166.1373,0,0,0,0,0,2896,468.987,0,2.68593,6.291,0.5,92.5,3.242223,0.5,1.5,3.5,3,0.5,92,6.167293,2.2239,5.724037,49.27459,FTP
A,1,1.982931,6,1094,586,2956846,92156,0,10136,2702.784,1487.072,0,0.053323,0.001812552,0.00442982,551.7086,1491149,0.3023809,0.93955,1,7,53,53,0,2625320781,1094,2955398,0,62,91106,0,501,501,489,501,4,4,7,0,1094,3282,0,1,0,0.000006,0.053895,0.003101169,0.00558805,0,-1,1,1,2,2,2,20,72,0,10136,2702.784,1448,2896,2896,1448,1448,10136,1491.011,1073.402,1.393448,2.749498,0.5,53.5,2.117566,0.5,0.5,1.5,1,0.5,53,4.326228,0.7413,5.623151,48.2861,FTP
B,1,1.982632,6,586,1094,92156,2956846,0,2896,157.2628,456.6629,0,0.053922,0.003383331,0.005787124,295.5667,46481.64,-0.3023809,-0.93955,1,2,64,64,0,2437701854,586,92156,0,539,2949606,0,14161,14113.65,13948,14177,259,279,404,0,586,1758,0,1,0,0.000002,0.041811,0.000206053,0.001772097,0.003307222,0.005862306,1,1,1,1,1,20,47,0,2896,157.2628,0,0,0,0,0,2896,459.4858,0,2.842209,7.333877,0.5,53.5,3.541026,0.5,1.5,4.5,4,0.5,53,5.720819,2.9652,3.911222,22.26579,FTP
