%dir,flowInd,duration,l4Proto,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpOptPktCnt,tcpOptCnt,tcpMSS,tcpWS,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,connSip,connDip,connSipDip,connSipDprt,connF,nFpCnt,tCnt,dsMinPl,dsMaxPl,dsMeanPl,dsLowQuartilePl,dsMedianPl,dsUppQuartilePl,dsIqdPl,dsModePl,dsRangePl,dsStdPl,dsRobStdPl,dsSkewPl,dsExcPl,dsMinIat,dsMaxIat,dsMeanIat,dsLowQuartileIat,dsMedianIat,dsUppQuartileIat,dsIqdIat,dsModeIat,dsRangeIat,dsStdIat,dsRobStdIat,dsSkewIat,dsExcIat,TrafficType
A,1,9.897231,6,467,848,60910,1865318,0,1448,130.4283,395.8988,0,5.485676,0.02119322,0.2531261,47.18491,6154.247,-0.2897338,-0.9367572,1,1,64,64,0,4079332059,467,60910,0,442,1863870,0,7044,7042.032,6960,7053,189,216,311,0,467,1401,0,1,0,0.000001,0.047105,0.000455131,0.003574761,0,-1,1,1,2,2,2,20,69,0,1448,130.4283,0,0,0,0,0,1448,397.9059,0,2.843024,6.270176,0.5,1000,11.71996,0.5,5.5,16.5,16,0.5,999.5,47.28476,11.8608,19.6736,408.2817,Streaming
B,1,9.855006,6,848,467,1865318,60910,0,11584,2199.667,1272.122,0,5.220001,0.01162147,0.1792678,86.04764,189276.2,0.2897338,0.9367572,1,8,52,52,0,2113210383,848,1864775,0,50,63263,0,1462,1462,1462,1462,0,0,0,0,848,2544,0,1,0,0.000008,5.443441,0.0155223,0.1868262,0.01597743,0.1868604,1,1,1,1,1,20,100,0,11584,2199.667,1448,1448,2896,1448,1448,11584,1275.38,1073.402,2.389086,8.834056,0.5,1000,6.916175,0.5,0.5,7.5,7,0.5,999.5,36.22237,5.1891,24.67436,667.2057,Streaming
A,1,8.91603,6,4,4,2657,543,0,1057,664.25,366.2759,0,5.692002,2.229007,1.934418,0.4486302,298.0026,0,0.660625,1,1,64,64,0,4074954240,4,2657,0,1,543,0,7053,7051.8,7049,7053,1,0,0,0,4,12,0,1,0,0.00002,2.776785,0.6942087,0.9036342,0,-1,1,1,2,2,2,4,4,0,1057,664.25,271.5,800,1057,785.5,1057,1057,437.1598,437.1598,-0.5197883,-1.340161,222.5,1000,740.8334,1000,1000,1000,0,1000,777.5,448.8898,0,-0.7071071,-1.5,Streaming
B,1,8.692174,6,4,4,543,2657,0,543,135.75,203.625,0,5.46863,2.173043,1.859813,0.4601841,62.46999,0,-0.660625,1,1,52,52,0,2005919507,4,0,0,2,1600,0,1462,1462,1462,1462,0,0,0,0,4,12,0,1,0,0.223342,5.691972,1.590634,2.050669,2.284843,2.240937,1,1,1,1,1,4,4,0,543,135.75,0,0,271.5,271.5,0,543,235.1259,201.2629,1.154701,-0.6666667,222.5,1000,740.8334,1000,1000,1000,0,1000,777.5,448.8898,0,-0.7071071,-1.5,Streaming
A,1,7.509985,6,5,5,1600,1629,0,1057,320,324.438,0,3.858562,1.501997,1.372193,0.6657803,213.0497,0,-0.008981109,1,1,64,64,0,4086002832,5,1600,0,2,1086,0,7833,7834.838,7833,7836,1,2,3,0,5,15,0,1,0,0.000021,3.858602,0.7806604,1.170367,0,-1,1,1,2,2,2,5,5,0,1057,320,0,0,671.5,671.5,0,1057,424.2872,424.2872,0.8198509,-0.9698076,1.5,1000,574.75,297.5,1000,1000,702.5,1000,998.5,505.6871,505.6871,-0.1663495,-1.781366,Streaming
B,1,7.46728,6,5,5,1629,1600,0,543,325.8,213.2423,0,4.082068,1.493456,1.355563,0.6695879,218.1517,0,0.008981109,1,1,52,52,0,2279341008,5,1086,0,2,1600,0,1462,1462,1462,1462,0,0,0,0,5,15,0,1,0,0.223394,3.311393,0.8107288,1.120913,1.591389,1.620557,1,1,1,1,1,5,5,0,543,325.8,0,543,543,543,543,543,266.0146,266.0146,-0.4082481,-1.833334,71.5,1000,574.75,227.5,1000,1000,772.5,1000,928.5,495.1492,495.1492,-0.04921803,-1.934647,Streaming
A,4,4.147787,6,3,3,1086,543,0,543,362,209.0008,0,3.858112,1.382596,1.280069,0.7232772,261.8264,0,0.3333333,1,1,64,64,0,4084397026,3,1086,0,1,543,0,7836,7836,7836,7836,0,0,0,0,3,9,0,1,0,0.000028,3.634644,1.211557,1.261013,0,-1,1,1,2,2,2,3,3,0,543,362,135.75,543,543,407.25,543,543,255.9727,255.9727,-0.7071067,-1.5,287.5,1000,643.75,1000,1000,1000,0,287.5,712.5,503.8136,0,0,-2,Streaming
B,4,3.924291,6,3,3,543,1086,0,543,181,209.0008,0,3.85806,1.308097,1.324561,0.7644693,138.3689,0,-0.3333333,1,1,52,52,0,2238643853,3,0,0,1,543,0,1462,1462,1462,1462,0,0,0,0,3,9,0,1,0,0.223416,0.289647,0.2455103,0.02548232,1.457068,1.261271,1,1,1,1,1,3,3,0,543,181,0,0,407.25,407.25,0,543,255.9727,255.9727,0.7071067,-1.5,66.5,1000,533.25,1000,1000,1000,0,66.5,933.5,660.0842,0,0,-2,Streaming
A,2,9.740268,6,481,881,72414,2229095,0,1448,150.5489,419.0738,0,5.892932,0.02025004,0.2684364,49.38263,7434.498,-0.2936858,-0.9370726,1,1,64,64,0,4086990800,481,71871,0,443,2223303,0,8024,8041.893,7831,8046,201,209,313,0,481,1443,0,1,0,0.000001,5.669435,0.01273591,0.257962,0,-1,2,1,2,2,1,20,78,0,1448,150.5489,0,0,0,0,0,1448,421.4212,0,2.623038,5.129671,0.5,1000,10.27812,0.5,0.5,6.5,6,0.5,999.5,49.24267,4.4478,17.29652,339.4826,Streaming
B,2,4.07105,6,881,481,2229095,72414,0,25750,2530.187,2207.825,0,0.194642,0.00462094,0.01496863,216.4061,547547.9,0.2936858,0.9370726,1,18,52,52,0,2302669352,881,2229095,0,54,72414,0,1462,1462,1462,1462,0,0,0,0,881,2643,0,1,0,0.000007,0.223497,0.007954307,0.01962149,0.02069022,0.2587072,1,2,1,1,1,20,92,0,25750,2530.187,1448,1448,2896,1448,1448,25750,2230.071,1073.402,3.660051,21.11809,0.5,194.5,4.9125,0.5,0.5,1.5,1,0.5,194,15.1712,0.7413,7.882416,85.56716,Streaming
A,2,5.093964,6,9,9,4742,3200,0,1448,526.8889,499.0539,0,3.263887,0.565996,0.738745,1.766797,930.9056,0,0.1941576,1,1,64,64,0,4083138154,9,4742,0,3,2657,0,7049,7048.294,7041,7053,3,2,4,0,9,27,0,1,0,0.000006,3.263912,0.4277016,0.7896529,0,-1,1,1,2,2,2,9,9,0,1448,526.8889,0,123,1057,1057,0,1448,573.9796,573.9796,0.3393031,-1.677734,49.5,1000,353.625,222.5,292.5,535,312.5,222.5,950.5,296.1287,231.6562,1.396162,0.9453549,Streaming
B,2,5.093973,6,9,9,3200,4742,0,1571,355.5555,446.2998,0,3.487291,0.5659969,0.8143155,1.766794,628.1934,0,-0.1941576,1,2,52,52,0,2207028336,9,2657,0,5,4742,0,1462,1462,1462,1462,0,0,0,0,9,27,0,1,0,0.049409,0.333119,0.1934409,0.0866335,0.6211425,0.794391,1,1,1,1,1,9,9,0,1571,355.5555,0,0,543,543,0,1571,496.0746,402.5259,1.447691,1.157553,49.5,1000,325.125,109.5,222.5,755,645.5,222.5,950.5,353.1156,353.1156,1.155621,-0.3258073,Streaming
A,1,4.183073,6,2,2,543,543,0,543,271.5,191.9795,0,4.183073,2.091537,1.47894,0.4781174,129.8089,0,0,1,1,64,64,0,4075652381,2,0,0,0,0,0,7049,7050.2,7049,7053,0,1,1,0,2,6,0,1,0,0.000016,4.183089,2.091552,1.47894,0,-1,1,1,2,2,2,2,2,0,543,271.5,0,271.5,543,543,0,543,271.5,271.5,0,-2,1000,1000,1000,1000,1000,1000,0,1000,0,0,0,0,0,Streaming
B,1,4.406474,6,2,2,543,543,0,543,271.5,191.9795,0,4.406474,2.203237,1.557924,0.4538776,123.2278,0,0,1,1,52,52,0,2020646869,2,543,0,1,543,0,1462,1462,1462,1462,0,0,0,0,2,6,0,1,0,0.223385,0.223385,0.1116925,0.07897852,2.203245,1.481047,1,1,1,1,1,2,2,0,543,271.5,0,271.5,543,543,0,543,271.5,271.5,0,-2,1000,1000,1000,1000,1000,1000,0,1000,0,0,0,0,0,Streaming
A,5,5.9205,6,4,4,1086,1086,0,543,271.5,226.25,0,5.172799,1.480125,1.850015,0.6756186,183.4305,0,0,1,1,64,64,0,4084398112,4,1086,0,2,1086,0,7836,7836,7836,7836,0,0,0,0,4,12,0,1,0,0.000026,0.236539,0.05915225,0.07696667,0,-1,1,1,2,2,2,4,4,0,543,271.5,0,271.5,543,543,0,543,271.5,271.5,0,-2,287.5,1000,580.8334,455,727.5,1000,545,287.5,712.5,372.5447,372.5447,0.5497245,-1.5,Streaming
B,5,5.697017,6,4,4,1086,1086,0,543,271.5,226.25,0,5.172781,1.424254,1.878601,0.7021218,190.6261,0,0,1,1,52,52,0,2238644396,4,543,0,1,543,0,1462,1462,1462,1462,0,0,0,0,4,12,0,1,0,0.223439,5.172755,1.476839,1.848082,1.535991,1.849684,1,1,1,1,1,4,4,0,543,271.5,0,271.5,543,543,0,543,271.5,271.5,0,-2,64.5,1000,509.8333,465,732.5,1000,535,64.5,935.5,469.3587,396.5955,0.1738809,-1.5,Streaming
A,1,9.954517,6,110,204,32543,549132,0,1448,295.8455,527.1746,0,3.649033,0.0904956,0.4742625,11.05026,3269.169,-0.299363,-0.8881059,1,1,64,64,0,4078317562,110,32543,0,89,549132,0,7053,7010.667,6735,7053,48,42,60,0,110,330,0,1,0,0.000002,3.734199,0.06807441,0.4833402,0,-1,1,1,2,2,2,20,47,0,1448,295.8455,0,0,398,398,0,1448,535.0847,295.0374,1.458574,0.3795161,0.5,1000,44.12386,0.5,1.5,30.5,30,0.5,999.5,141.2128,22.239,5.856192,36.38194,Streaming
B,1,9.953904,6,204,110,549132,32543,0,17376,2691.823,2587.302,0,3.774791,0.04879366,0.3502179,20.49447,55167.5,0.299363,0.8881059,1,12,52,52,0,2087181949,204,547684,0,24,29372,0,1462,1462,1462,1462,0,0,0,0,204,612,0,1,0,0.000007,3.606485,0.03975652,0.2539317,0.1078309,0.5459845,1,1,1,1,1,20,63,0,17376,2691.823,1448,1448,2896,1448,1448,17376,2642.678,1073.402,2.707182,9.936749,0.5,1000,24.14532,0.5,0.5,3.5,3,0.5,999.5,103.7884,2.2239,8.347141,74.91092,Streaming
A,3,5.793252,6,31,37,6248,101645,0,1448,201.5484,383.4608,0,3.821282,0.1868791,0.5987142,5.351053,1078.496,-0.0882353,-0.8841816,1,1,64,64,0,4085520301,31,4800,0,23,101645,0,7836,7800.05,7720,7836,15,8,11,0,31,93,0,1,0,0.000002,3.597151,0.1471802,0.5663254,0,-1,1,1,2,2,2,20,15,0,1448,201.5484,0,0,92.25,92.25,0,1448,411.367,68.38493,2.071157,3.145464,0.5,1000,99.23334,0.5,0.5,71.5,71,0.5,999.5,211.1738,52.6323,2.931208,9.217869,Streaming
B,3,5.569348,6,37,31,101645,6248,0,13032,2747.162,3049.735,0,3.820581,0.1505229,0.553215,6.643507,18250.79,0.0882353,0.8841816,1,65531,52,52,0,2265154086,36,100197,0,6,3743,0,1462,1462,1462,1462,0,0,0,0,37,111,0,1,0,0.000003,0.379712,0.07484882,0.106653,0.222029,0.5762806,1,1,1,1,1,20,22,0,13032,2747.162,1448,1448,3210.25,1762.25,1448,13032,3110.482,1306.356,1.657065,1.917955,0.5,1000,76.55556,0.5,0.5,71.5,71,0.5,999.5,198.1133,52.6323,3.604892,12.89622,Streaming
A,2,9.764956,6,442,876,61431,1876189,0,1448,138.9842,403.2195,0,3.614299,0.02209267,0.1604038,45.2639,6290.965,-0.3292868,-0.9365913,1,1,64,64,0,4075454832,442,61431,0,407,1875646,0,7049,7027.15,6532,7053,188,202,286,0,442,1326,0,1,0,0.000002,3.676134,0.02192998,0.2225341,0,-1,1,1,2,2,2,20,80,0,1448,138.9842,0,0,0,0,0,1448,406.4509,0,2.769619,5.916689,0.5,1000,15.96258,0.5,0.5,7.5,7,0.5,999.5,74.21068,5.1891,11.08289,139.4437,Streaming
B,2,9.829181,6,876,442,1876189,61431,0,13032,2141.768,1389.176,0,3.750357,0.01122052,0.1217957,89.12238,190879.5,0.3292868,0.9365913,1,9,52,52,0,2015019313,876,1873293,0,48,56544,0,1462,1462,1462,1462,0,0,0,0,876,2628,0,1,0,0.000004,0.331253,0.0136126,0.03515074,0.03554258,0.2252932,1,1,1,1,1,20,100,0,13032,2141.768,1448,1448,2896,1448,1448,13032,1392.895,1073.402,2.5876,10.90201,0.5,1000,8.104571,0.5,0.5,0.5,0,0.5,999.5,52.00212,0,16.3476,301.9347,Streaming
A,1,6.988784,6,486,996,73225,2220091,0,1448,150.6687,419.9153,0,2.86488,0.01438021,0.1311306,69.53999,10477.5,-0.3441296,-0.9361405,1,1,64,64,0,4083622958,486,72682,0,452,2220091,0,7044,7039.81,6875,7053,204,218,313,0,486,1458,0,1,0,0.000002,2.640932,0.006334671,0.1195798,0,-1,1,1,2,2,2,20,81,0,1448,150.6687,0,0,0,0,0,1448,423.1519,0,2.59517,4.943849,0.5,1000,10.71546,0.5,1.5,7.5,7,0.5,999.5,50.23648,5.1891,16.40453,311.2701,Streaming
B,1,7.184989,6,996,486,2220091,73225,0,15928,2229.007,1648.644,0,2.864292,0.007213844,0.09162362,138.6223,308990.2,0.3441296,0.9361405,1,11,52,52,0,2218383106,996,2220091,0,57,77569,1,1462,1462,1462,1462,0,0,0,0,996,2988,0,1,0,0.000005,0.301157,0.008598751,0.02497034,0.01493342,0.1221591,1,1,1,1,1,20,108,0,15928,2229.007,1448,1448,2896,1448,1448,15928,1655.317,1073.402,3.488322,18.76253,0.5,1000,5.641206,0.5,0.5,1.5,1,0.5,999.5,34.58548,0.7413,24.47745,688.103,Streaming
A,1,6.536919,6,11,13,4858,3229,0,1057,441.6364,275.3667,0,3.218619,0.5942653,0.7915755,1.68275,743.1636,-0.08333334,0.2014344,1,1,64,64,0,4074961096,11,4858,0,5,3229,0,7053,7051.751,7049,7053,2,1,2,0,11,33,0,1,0,0.000024,2.99503,0.3372812,0.8015509,0,-1,1,1,2,2,2,11,11,0,1057,441.6364,135.75,543,543,407.25,543,1057,306.8495,301.8944,-0.05695936,-0.3517594,1.5,1000,431.9,317.5,485,495,177.5,495,998.5,259.4374,131.5807,0.6229851,0.8438509,Streaming
B,1,6.313394,6,13,11,3229,4858,0,1057,248.3846,303.3066,0,3.218369,0.4856457,0.766515,2.059114,511.4523,0.08333334,-0.2014344,1,1,52,52,0,2005920593,13,2686,0,7,4315,0,1462,1462,1462,1462,0,0,0,0,13,39,0,1,0,0.223339,0.494384,0.3067814,0.09885745,0.6440625,0.8076241,1,1,1,1,1,13,11,0,1057,248.3846,0,0,543,543,0,1057,339.0724,339.0724,1.003226,-0.1593933,92.5,1000,341.25,227.5,257.5,302.5,75,227.5,907.5,270.4573,55.5975,1.72525,1.442727,Streaming
A,1,5.318655,6,87,149,19229,473690,0,1448,221.023,468.7554,0,2.763418,0.06113397,0.3014674,16.35752,3615.388,-0.2627119,-0.9219791,1,1,64,64,0,4085312480,87,18592,0,75,473690,0,7836,7830.432,7463,7836,37,36,45,0,87,261,0,1,0,0.000002,2.55908,0.07545574,0.3859556,0,-1,1,1,2,2,2,20,39,0,1448,221.023,0,0,0,0,0,1448,480.9302,0,1.974838,2.179916,0.5,1000,41.44186,0.5,2.5,21.5,21,0.5,999.5,144.8252,15.5673,5.539503,31.29996,Streaming
B,1,5.318191,6,149,87,473690,19229,0,36200,3179.127,4648.04,0,2.762192,0.03569255,0.2322675,28.01705,89069.76,0.2627119,0.9219791,1,65533,52,52,0,2259760680,148,478034,0,18,19229,0,1462,1462,1462,1462,0,0,0,0,149,447,0,1,0,0.000008,0.319193,0.0310276,0.06555978,0.1064833,0.3914841,1,1,1,1,1,20,56,0,36200,3179.127,1448,1448,2896,1448,1448,36200,4690.025,1073.402,4.468506,23.62169,0.5,1000,24.28378,0.5,0.5,6.5,6,0.5,999.5,110.9498,4.4478,7.484306,58.59385,Streaming
A,3,7.208104,6,5,5,2143,1600,0,1057,428.6,295.6306,0,6.638346,1.441621,2.326213,0.6936637,297.3043,0,0.1450708,1,1,64,64,0,4078762679,5,1600,0,2,1600,0,7053,7051.824,7045,7053,1,1,1,0,5,15,0,1,0,0.000013,6.41475,1.291906,2.291037,0,-1,1,1,2,2,2,5,5,0,1057,428.6,0,543,671.5,671.5,0,1057,397.1038,397.1038,0.2991869,-1.200253,2.5,1000,391.875,222.5,342.5,1000,777.5,2.5,997.5,429.1677,429.1677,0.7833774,-0.8962266,Streaming
B,3,7.207308,6,5,5,1600,2143,0,1057,320,349.382,0,6.638136,1.441462,2.325376,0.6937403,221.9969,0,-0.1450708,1,1,52,52,0,2099740545,5,1600,0,2,1086,0,1462,1462,1462,1462,0,0,0,0,5,15,0,1,0,0.223386,0.301474,0.2392312,0.02372929,1.531137,2.29116,1,1,1,1,1,5,5,0,1057,320,0,0,671.5,671.5,0,1057,424.2872,424.2872,0.8198509,-0.9698076,77.5,1000,393.125,227.5,267.5,1000,772.5,77.5,922.5,412.767,412.767,1.015491,-0.7559211,Streaming
A,2,9.160577,6,519,1013,78734,2324943,0,1448,151.7033,419.2961,0,3.023608,0.01765043,0.1372766,56.65582,8594.874,-0.3224543,-0.9344887,1,1,64,64,0,4079941635,519,78734,0,475,2324943,0,7053,7026.678,6729,7053,227,230,352,0,519,1557,0,1,0,0.000001,2.800195,0.008225707,0.1277118,0,-1,1,1,2,2,2,20,81,0,1448,151.7033,0,0,0,0,0,1448,422.5958,0,2.592821,4.948477,0.5,1000,13.9527,0.5,0.5,6.5,6,0.5,999.5,58.26295,4.4478,11.6758,171.7617,Streaming
B,2,8.934838,6,1013,519,2324943,78734,0,28960,2295.107,1934.774,0,3.02359,0.008820173,0.09936785,113.3764,260211,0.3224543,0.9344887,1,65529,52,52,0,2127012987,1012,2333631,0,59,72066,1,1462,1462,1462,1462,0,0,0,0,1013,3039,0,1,0,0.000001,0.334683,0.009643844,0.02794838,0.01786955,0.1307342,1,1,1,1,1,20,110,0,28960,2295.107,1448,1448,2896,1448,1448,28960,1949.727,1073.402,5.908229,58.78155,0.5,1000,7.142293,0.5,0.5,1.5,1,0.5,999.5,43.45432,0.7413,18.10104,375.2625,Streaming
A,6,8.111238,6,12,13,8883,5198,0,1448,740.25,544.0488,0,4.890036,0.6759365,1.298407,1.479429,1095.147,-0.04,0.2617002,1,1,64,64,0,4083726127,12,8246,0,3,5198,0,7053,7052.432,7030,7053,1,1,1,0,12,36,0,1,0,0.000024,4.75196,1.066967,1.658662,0,-1,1,1,2,2,2,12,11,0,1448,740.25,46.5,637,1448,1401.5,1448,1448,600.0675,600.0675,0.002222361,-1.637805,8.5,1000,308.0909,54.5,141,675,620.5,1000,991.5,389.2057,389.2057,1.074359,-0.5791342,Streaming
